en	fr
Resumption of the session	Reprise de la session
I declare resumed the session of the European Parliament adjourned on Friday 17 December 1999, and I would like once again to wish you a happy new year in the hope that you enjoyed a pleasant festive period.	Je déclare reprise la session du Parlement européen qui avait été interrompue le vendredi 17 décembre dernier et je vous renouvelle tous mes vux en espérant que vous avez passé de bonnes vacances.
Although, as you will have seen, the dreaded 'millennium bug' failed to materialise, still the people in a number of countries suffered a series of natural disasters that truly were dreadful.	"Comme vous avez pu le constater, le grand "bogue de l’an 2000" ne s’est pas produit." En revanche, les citoyens d’un certain nombre de nos pays ont été victimes de catastrophes naturelles qui ont vraiment été terribles.
You have requested a debate on this subject in the course of the next few days, during this part-session.	Vous avez souhaité un débat à ce sujet dans les prochains jours, au cours de cette période de session.
In the meantime, I should like to observe a minute’s silence, as a number of Members have requested, on behalf of all the victims concerned, particularly those of the terrible storms, in the various countries of the European Union.	En attendant, je souhaiterais, comme un certain nombre de collègues me l’ont demandé, que nous observions une minute de silence pour toutes les victimes, des tempêtes notamment, dans les différents pays de l’Union européenne qui ont été touchés.
Please rise, then, for this minute’s silence.	Je vous invite à vous lever pour cette minute de silence.
(The House rose and observed a minute’s silence)	(Le Parlement, debout, observe une minute de silence)
Madam President, on a point of order.	Madame la Présidente, c’est une motion de procédure.
You will be aware from the press and television that there have been a number of bomb explosions and killings in Sri Lanka.	Vous avez probablement appris par la presse et par la télévision que plusieurs attentats à la bombe et crimes ont été perpétrés au Sri Lanka.
One of the people assassinated very recently in Sri Lanka was Mr Kumar Ponnambalam, who had visited the European Parliament just a few months ago.	L’une des personnes qui vient d’être assassinée au Sri Lanka est M. Kumar Ponnambalam, qui avait rendu visite au Parlement européen il y a quelques mois à peine.
Would it be appropriate for you, Madam President, to write a letter to the Sri Lankan President expressing Parliament’s regret at his and the other violent deaths in Sri Lanka and urging her to do everything she possibly can to seek a peaceful reconciliation to a very difficult situation ?	Ne pensez-vous pas, Madame la Présidente, qu’il conviendrait d’écrire une lettre au président du Sri Lanka pour lui communiquer que le Parlement déplore les morts violentes, dont celle de M. Ponnambalam, et pour l’inviter instamment à faire tout ce qui est en son pouvoir pour chercher une réconciliation pacifique et mettre un terme à cette situation particulièrement difficile.
Yes, Mr Evans, I feel an initiative of the type you have just suggested would be entirely appropriate.	Oui, Monsieur Evans, je pense qu’une initiative dans le sens que vous venez de suggérer serait tout à fait appropriée.
If the House agrees, I shall do as Mr Evans has suggested.	Si l’Assemblée en est d’accord, je ferai comme M. Evans l’a suggéré.
Madam President, on a point of order.	Madame la Présidente, c’est une motion de procédure.
I would like your advice about Rule 143 concerning inadmissibility.	Je voudrais vous demander un conseil au sujet de l’article 143, qui concerne l’irrecevabilité.
My question relates to something that will come up on Thursday and which I will then raise again.	Ma question porte sur un sujet qui est à l’ordre du jour du jeudi et que je soulèverai donc une nouvelle fois.
The Cunha report on multiannual guidance programmes comes before Parliament on Thursday and contains a proposal in paragraph 6 that a form of quota penalties should be introduced for countries which fail to meet their fleet reduction targets annually.	Le paragraphe 6 du rapport Cunha sur les programmes d’orientation pluriannuels, qui sera soumis au Parlement ce jeudi, propose d’introduire des sanctions applicables aux pays qui ne respectent pas les objectifs annuels de réduction de leur flotte.
It says that this should be done despite the principle of relative stability.	Il précise que cela devrait être fait malgré le principe de stabilité relative.
I believe that the principle of relative stability is a fundamental legal principle of the common fisheries policy and a proposal to subvert it would be legally inadmissible.	À mon sens, le principe de stabilité relative est un principe juridique fondamental de la politique commune de la pêche et toute proposition le bouleversant serait juridiquement irrecevable.
I want to know whether one can raise an objection of that kind to what is merely a report, not a legislative proposal, and whether that is something I can competently do on Thursday.	Je voudrais savoir si l’on peut avancer une objection de ce type à ce qui n’est qu’un rapport, pas une proposition législative, et si je suis habilité à le faire ce jeudi.
That is precisely the time when you may, if you wish, raise this question, i. e. on Thursday prior to the start of the presentation of the report.	C’est exactement à ce moment -là que vous pourrez, en effet, si vous le souhaitez, soulever cette question, c’est-à-dire jeudi avant le début de la présentation du rapport.
Madam President, coinciding with this year’s first part-session of the European Parliament, a date has been set, unfortunately for next Thursday, in Texas in America, for the execution of a young 34 year-old man who has been sentenced to death.	Madame la Présidente, alors que se déroule la première session de l’année du Parlement européen, l’exécution d’un condamné à mort au Texas aux États-Unis, un jeune homme de 34 ans appelé Hicks, a été fixée, malheureusement, à jeudi prochain.
We shall call him Mr Hicks.	
At the request of a French Member, Mr Zimeray, a petition has already been presented, which many people signed, including myself.	À la demande d’un député français, Monsieur Zimeray, une pétition a déjà été introduite ; elle a récolté de nombreuses signatures dont la mienne.
However, I would ask you, in accordance with the line which is now constantly followed by the European Parliament and by the whole of the European Community, to make representations, using the weight of your prestigious office and the institution you represent, to the President and to the Governor of Texas, Mr Bush, who has the power to order a stay of execution and to reprieve the condemned person.	Cependant, je vous demande, conformément à l’orientation désormais constamment exprimée par le Parlement européen et toute la Communauté européenne, d’intervenir auprès du président et du gouverneur du Texas, Monsieur Bush, en faisant jouer le prestige de votre mandat et de l’Institution que vous représentez, car c’est Monsieur Bush qui a le pouvoir de suspendre la condamnation à mort et de gracier le condamné.
This is all in accordance with the principles that we have always upheld.	Et tout ceci dans le respect des principes que nous avons toujours soutenus.
Thank you, Mr Segni, I shall do so gladly.	Merci, Monsieur Segni, je le ferai bien volontiers.
Indeed, it is quite in keeping with the positions this House has always adopted.	C’est en effet tout à fait dans la ligne des positions que notre Parlement a toujours adoptées.
Madam President, I should like to draw your attention to a case in which this Parliament has consistently shown an interest.	Madame la Présidente, je voudrais attirer votre attention sur un cas dont s’est régulièrement occupé le Parlement.
It is the case of Alexander Nikitin.	Il s’agit du cas d’Alexandre Nikitin.
All of us here are pleased that the courts have acquitted him and made it clear that in Russia, too, access to environmental information is a constitutional right.	Nous nous réjouissons tous, dans cette enceinte, que le tribunal ait prononcé sa libération et ait clairement établi qu’en Russie aussi, l’accès aux informations environnementales était un droit constitutionnel.
Now, however, he is to go before the courts once more because the public prosecutor is appealing.	Cependant, il se fait qu’il semblerait être à nouveau mis en accusation, le ministère public ayant interjeté appel.
We know, and we have stated as much in very many resolutions indeed, including specifically during the last plenary part-session of last year, that this is not solely a legal case and that it is wrong for Alexander Nikitin to be accused of criminal activity and treason because of our involvement as the beneficiaries of his findings.	Nous savons, et nous l’avons d’ailleurs établi dans de très nombreuses résolutions - y compris lors de la dernière période de session de l’année dernière -, que ce cas n’est pas seulement de nature juridique et qu’il est faux d’accuser Alexandre Nikitin d’activité criminelle et de trahison car nous sommes concernés par ses résultats et nous en profitons.
These findings form the basis of the European programmes to protect the Barents Sea, and that is why I would ask you to examine a draft letter setting out the most important facts and to make Parliament ’s position, as expressed in the resolutions which it has adopted, clear as far as Russia is concerned.	Ces résultats forment la base des programmes européens de protection de la mer de Barents et c’est pourquoi je vous prie d’examiner un projet de lettre vous dépeignant les faits essentiels de cette affaire et de communiquer à la Russie la position qui découle des décisions du Parlement.
Yes, Mrs Schroedter, I shall be pleased to look into the facts of this case when I have received your letter.	Oui, Madame Schroedter, j’examinerai bien volontiers les faits relatifs à cette question lorsque j’aurai reçu votre lettre.
Madam President, I would firstly like to compliment you on the fact that you have kept your word and that, during this first part-session of the new year, the number of television channels in our offices has indeed increased considerably.	Madame la Présidente, je voudrais tout d’abord vous féliciter pour avoir tenu parole car en effet, en cette première période de session, en cette nouvelle année, le nombre de chaînes de télévision a réellement été augmenté de manière significative dans nos locaux.
But, Madam President, my personal request has not been met.	Toutefois, Madame la Présidente, ce que j’avais demandé n’a pas été réalisé.
Although there are now two Finnish channels and one Portuguese one, there is still no Dutch channel, which is what I had requested because Dutch people here like to be able to follow the news too when we are sent to this place of exile every month.	Il y a bien deux chaînes finnoises et une chaîne portugaise, mais il n’y a toujours aucune chaîne néerlandaise. Pourtant je vous avais demandé une chaîne néerlandaise, car les Néerlandais aussi désirent pouvoir suivre les actualités chaque mois lorsqu’ils sont envoyés en cette terre d’exil.
I would therefore once more ask you to ensure that we get a Dutch channel as well.	Je vous demande donc à nouveau de faire le nécessaire pour que nous puissions disposer d’une chaîne néerlandaise.
Mrs Plooij-van Gorsel, I can tell you that this matter is on the agenda for the Quaestors’ meeting on Wednesday.	Madame Plooij-van Gorsel, je peux vous dire que cette question est à l’ordre du jour de la réunion des questeurs de mercredi.
It will, I hope, be examined in a positive light.	Elle sera, je l’espère, examinée dans un esprit positif.
Madam President, can you tell me why this Parliament does not adhere to the health and safety legislation that it actually passes ?	Madame la Présidente, comment se fait-il que le Parlement ne se conforme pas à la réglementation en matière de santé et de sécurité qu’il vote ?
Why has no air quality test been done on this particular building since we were elected ?	Comment se fait-il qu’aucun test de qualité de l’air n’ait été réalisé dans ce bâtiment depuis notre élection ?
Why has there been no Health and Safety Committee meeting since 1998 ?	Comment se fait-il que le comité de santé et d’hygiène ne se soit plus réuni depuis 1998 ?
Why has there been no fire drill, either in the Brussels Parliament buildings or the Strasbourg Parliament buildings ?	Comment se fait-il que nous n’ayons jamais fait d’exercice d’évacuation dans les bâtiments du Parlement de Bruxelles et de Strasbourg ?
Why are there no fire instructions ?	Comment se fait-il qu’il n’y ait pas de consignes en cas d’incendie ?
Why have the staircases not been improved since my accident ?	Comment se fait-il que les escaliers n’aient pas été améliorés depuis mon accident ?
Why are no-smoking areas not enforced ?	Comment se fait-il que l’on ne respecte pas les zones non-fumeurs ?
It seems absolutely disgraceful that we pass legislation and do not adhere to it ourselves.	Nous votons des réglementations et nous ne nous y conformons même pas. C’est scandaleux.
Mrs Lynne, you are quite right and I shall check whether this has actually not been done.	Madame Lynne, vous avez parfaitement raison et je vais vérifier si tout cela n ’a effectivement pas été fait.
I shall also refer the matter to the College of Quaestors, and I am certain that they will be keen to ensure that we comply with the regulations we ourselves vote on.	Je vais soumettre également le problème au Collège des questeurs et je suis certaine que nos questeurs auront à cur de faire en sorte que nous respections la réglementation qu ’en effet nous votons.
Madam President, Mrs Díez González and I had tabled questions on certain opinions of the Vice-President, Mrs de Palacio, which appeared in a Spanish newspaper.	Madame la Présidente, Mme Díez González et moi-même avions présenté quelques questions sur certaines opinions exprimées par la vice-présidente, Mme de Palacio, et publiées dans un journal espagnol.
The competent services have not included them in the agenda on the grounds that they had been answered in a previous part-session.	Les services compétents ne les ont pas inclues à l’ordre du jour, avançant que des réponses avaient déjà été apportées lors d’une précédente session.
I would ask that they reconsider, since this is not the case.	Je demande que cette décision soit reconsidérée car ce n’est pas le cas.
The questions answered previously referred to Mrs de Palacio’s intervention, on another occasion, and not to these comments which appeared in the ABC newspaper on 18 November.	Les questions auxquelles on a répondu précédemment se rapportaient à l’intervention de Mme de Palacio dans un dossier précis, et non aux déclarations parues dans le journal ABC du 18 novembre dernier.
Mr Berenguer Fuster, we shall check all this.	Cher collègue nous allons vérifier tout cela.
I admit that, at present, the matter seems to be somewhat confused.	Je vous avouerai que, pour le moment, les choses me semblent un petit peu confuses.
We shall therefore look into it properly to ensure that everything is as it should be.	Donc, nous allons revoir cela très sérieusement pour que tout soit bien en ordre.
Madam President, I should like to know if there will be a clear message going out from Parliament this week about our discontent over today ’s decision refusing to renew the arms embargo on Indonesia, considering that the vast majority in this Parliament have endorsed the arms embargo in Indonesia in the past ?	Madame la Présidente, je voudrais savoir si cette semaine, le Parlement va envoyer un message clair exprimant son mécontentement quant à la décision prise aujourd’hui de refuser de renouveler l’embargo sur les armes à destination de l’Indonésie, alors que par le passé, le Parlement a souscrit à une très large majorité à l’embargo sur les armes à destination de l’Indonésie.
Today’s decision not to renew the embargo is extremely dangerous considering the situation there.	La décision d’aujourd’hui de ne pas renouveler l’embargo est extrêmement dangereuse, compte tenu de la situation sur place.
So Parliament should send a message, since that is the wish of the vast majority.	Le Parlement devrait dès lors envoyer un message en ce sens, étant donné qu’une grande majorité des députés le souhaite.
It is irresponsible of EU Member States to refuse to renew the embargo.	En refusant de prolonger l’embargo, les États membres font preuve d’irresponsabilité.
As people have said, the situation there is extremely volatile.	D’aucuns l’ont dit, la situation en Indonésie est extrêmement explosive.
There is, in fact, a risk of a military coup in the future.	Il y a en réalité un risque de coup d’État.
We do not know what is happening.	Nous ne savons pas ce qui se passe.
So why should EU arms producers profit at the expense of innocent people ?	Pourquoi donc les producteurs d’armes de l’UE devraient-ils s’enrichir sur le dos de personnes innocentes ?
In any event, this question is not presently included among the requests for topical and urgent debate on Thursday.	En tout cas, cette question ne figure pas pour l’instant parmi les demandes d’urgence pour jeudi prochain.
